model,quant,n_layers,layer,layer_pct,auroc,samples_per_prompt,temperature
Qwen/Qwen2.5-1.5B-Instruct,none,28,3,10.7,0.7734375,8,0.8
Qwen/Qwen2.5-1.5B-Instruct,none,28,6,21.4,0.794921875,8,0.8
Qwen/Qwen2.5-1.5B-Instruct,none,28,9,32.1,0.888671875,8,0.8
Qwen/Qwen2.5-1.5B-Instruct,none,28,12,42.9,0.859375,8,0.8
Qwen/Qwen2.5-1.5B-Instruct,none,28,15,53.6,0.830078125,8,0.8
Qwen/Qwen2.5-1.5B-Instruct,none,28,18,64.3,0.84375,8,0.8
Qwen/Qwen2.5-1.5B-Instruct,none,28,21,75.0,0.763671875,8,0.8
